id,shortname,mktcap,lastvalue,change,percentchange,direction,stk_details,volume,url
IHF01,Indiabulls Hsg,"9,650.35",225.70,0.15,0.07,1,[],932.58k,http://www.moneycontrol.com/india/stockpricequote/finance-housing/indiabullshousingfinance/IHF01
IIB,IndusInd Bank,"91,051.49","1,313.85",-5.45,-0.41,-1,[],34.91k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/indusindbank/IIB
IT,Infosys,"298,152.73",700.15,4.35,0.63,1,[],138.73k,http://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT
IOC,IOC,"128,314.99",136.30,-0.70,-0.51,-1,[],420.54k,http://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC
ITC,ITC,"319,940.21",260.40,-2.50,-0.95,-1,[],94.99k,http://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC
JVS,JSW Steel,"59,947.07",248.00,1.80,0.73,1,[],110.09k,http://www.moneycontrol.com/india/stockpricequote/steel-large/jswsteel/JSW01
KMF,Kotak Mahindra,"298,107.67","1,560.75",6.90,0.44,1,[],42.30k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/kotakmahindrabank/KMB
LT,Larsen,"202,606.97","1,443.50",3.95,0.27,1,[],19.89k,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/larsentoubro/LT
LIC,LIC Housing Fin,"21,246.31",421.00,1.55,0.37,1,[],48.74k,http://www.moneycontrol.com/india/stockpricequote/finance-housing/lichousingfinance/LIC
LC03,Lupin,"34,007.41",751.30,-3.55,-0.47,-1,[],24.51k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L
MM,M&M,"72,192.19",580.70,0.70,0.12,1,[],49.73k,http://www.moneycontrol.com/india/stockpricequote/auto-cars-jeeps/mahindramahindra/MM
MMF04,M&M Financial,"21,374.67",346.00,-2.55,-0.73,-1,[],17.82k,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/mahindramahindrafinancialservices/MMF04
MI25,Marico,"46,829.01",362.75,-3.50,-0.96,-1,[],14.87k,http://www.moneycontrol.com/india/stockpricequote/personal-care/marico/M13
MU01,Maruti Suzuki,"221,205.68","7,322.75",-62.55,-0.85,-1,[],14.43k,http://www.moneycontrol.com/india/stockpricequote/auto-cars-jeeps/marutisuzukiindia/MS24
MSS01,Motherson Sumi,"40,058.40",126.85,0.35,0.28,1,[],195.36k,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/mothersonsumisystems/MSS01
MRF,MRF,"27,082.82","63,857.35",38.00,0.06,1,[],45,http://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF
NI,Nestle,"141,365.69","14,662.10",11.75,0.08,1,[],434,http://www.moneycontrol.com/india/stockpricequote/food-processing/nestleindia/NI
NMD01,NMDC,"34,323.33",112.10,0.35,0.31,1,[],53.47k,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/nmdc/NMD02
NTP,NTPC,"119,130.47",120.40,-0.15,-0.12,-1,[],51.83k,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/ntpc/NTP
ONG,ONGC,"182,854.36",145.35,-0.95,-0.65,-1,[],55.18k,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/oilnaturalgascorporation/ONG
PLN,Petronet LNG,"42,937.50",286.25,1.15,0.40,1,[],20.30k,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/petronetlng/PLN
PI11,Pidilite Ind,"69,745.64","1,373.00",-15.25,-1.10,-1,[],7.29k,http://www.moneycontrol.com/india/stockpricequote/chemicals/pidiliteindustries/PI11
NP07,Piramal Enter,"33,767.14","1,698.15",-16.60,-0.97,-1,[],29.44k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/piramalenterprises/PH05
PNB05,PNB,"29,281.74",63.60,-1.15,-1.78,-1,[],1.02m,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/punjabnationalbank/PNB05
PFC02,Power Finance,"29,120.10",110.30,-1.25,-1.12,-1,[],642.38k,http://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02
PGC,Power Grid Corp,"102,434.53",195.80,0.35,0.18,1,[],2.44m,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/powergridcorporationindia/PGC
REC02,REC,"26,928.01",136.35,-1.30,-0.94,-1,[],69.20k,http://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/rec/REC02
RCF,Rel Capital,591.34,23.40,1.10,4.93,1,[],166.75k,http://www.moneycontrol.com/india/stockpricequote/finance-investments/reliancecapital/RC
RI,Reliance,"907,767.56","1,432.00",-15.60,-1.08,-1,[],103.50k,http://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI
BSE,Reliance Infra,"1,124.28",42.75,2.00,4.91,1,[],466.15k,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/relianceinfrastructure/RI38
SAI,SAIL,"16,171.01",39.15,0.10,0.26,1,[],522.54k,http://www.moneycontrol.com/india/stockpricequote/steel-large/steelauthorityindia/SAI
SBI,SBI,"280,366.67",314.15,-5.05,-1.58,-1,[],621.45k,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/statebankindia/SBI
SC12,Shree Cements,"68,651.98","19,706.50",-119.65,-0.60,-1,[],74,http://www.moneycontrol.com/india/stockpricequote/cement-major/shreecements/SC12
STF,Shriram Trans,"25,677.45","1,131.75",-7.55,-0.66,-1,[],3.48k,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramtransportfinancecorporation/STF
S,Siemens,"59,838.89","1,680.30",1.35,0.08,1,[],2.18k,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/siemens/S
SPI,Sun Pharma,"104,646.99",436.15,6.25,1.45,1,[],521.84k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI
TC,Tata Chemicals,"16,278.93",639.00,2.35,0.37,1,[],4.14k,http://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC
TT,Tata Global Bev,"18,930.74",299.95,-0.55,-0.18,-1,[],58.20k,http://www.moneycontrol.com/india/stockpricequote/plantations-tea-coffee/tataglobalbeverage/TT
TEL,Tata Motors,"49,720.14",172.20,0.20,0.12,1,[],438.17k,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/tatamotors/TM03
TPC,Tata Power,"15,714.73",58.10,-0.55,-0.94,-1,[],136.30k,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/tatapowercompany/TPC
TIS,Tata Steel,"45,099.01",400.35,-3.65,-0.90,-1,[],345.44k,http://www.moneycontrol.com/india/stockpricequote/steel-large/tatasteel/TIS
TCS,TCS,"820,233.77","2,185.90",-15.70,-0.71,-1,[],17.02k,http://www.moneycontrol.com/india/stockpricequote/computers-software/tataconsultancyservices/TCS
TM4,Tech Mahindra,"76,611.38",777.30,4.15,0.54,1,[],243.19k,http://www.moneycontrol.com/india/stockpricequote/computers-software/techmahindra/TM4
TI01,Titan Company,"104,079.61","1,172.35",-111.50,-8.68,-1,[],395.82k,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01
TMD,TML-D,"2,557.40",79.70,-0.40,-0.50,-1,[],789.86k,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/tatamotorsltddvr/TATAM57000
UTC,UltraTechCement,"119,168.58","4,129.00",-17.00,-0.41,-1,[],11.27k,http://www.moneycontrol.com/india/stockpricequote/cement-major/ultratechcement/UTC01
UBB,United Brewerie,"32,416.07","1,226.00",8.65,0.71,1,[],20.23k,http://www.moneycontrol.com/india/stockpricequote/breweries-distilleries/unitedbreweries/UB02
SI10,UPL,"46,509.90",608.75,3.45,0.57,1,[],42.71k,http://www.moneycontrol.com/india/stockpricequote/chemicals/upl/UP04
SG,Vedanta,"58,731.71",158.00,0.60,0.38,1,[],299.90k,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/vedanta/SG
IC8,Vodafone Idea,"11,436.68",3.98,-0.22,-5.24,-1,[],11.28m,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/vodafoneidealimited/IC8
W,Wipro,"146,850.27",257.05,-1.80,-0.70,-1,[],25.79k,http://www.moneycontrol.com/india/stockpricequote/computers-software/wipro/W
YB,Yes Bank,"17,571.79",68.90,0.55,0.80,1,[],8.58m,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/yesbank/YB
ZT,Zee Entertain,"28,526.31",297.00,10.80,3.77,1,[],1.06m,http://www.moneycontrol.com/india/stockpricequote/media-entertainment/zeeentertainmententerprises/ZEE
B3M,3M India,"25,217.93","22,385.95",-43.90,-0.20,-1,[],18,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
ABC07,AB Capital,"19,425.49",84.00,-1.45,-1.70,-1,[],45.15k,http://www.moneycontrol.com/india/stockpricequote/finance-investments/adityabirlacapital/ABC9
ABB,ABB India,"30,439.58","1,436.45",-12.05,-0.83,-1,[],768,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/abbindia/ABB
KP,Abbott India,"25,296.23","11,904.50",139.75,1.19,1,[],118,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
ACC,ACC,"28,254.47","1,504.60",-10.00,-0.66,-1,[],30.46k,http://www.moneycontrol.com/india/stockpricequote/cement-major/acc/ACC06
